zip,stu_id,ssn,name,dob,age,sex,race,ethn,snap,income,learn_dis,phys_dis,math_sc,read_sc
80220,7009901765,731342745,Bradley Biggle,02/13/2013,10,Male,White,Non-hispanic,0,"100,000-149,999",0,0,220,200
80222,3454129258,950392557,Charlotte Knobs,05/10/2013,9,Female,White,Non-hispanic,0,"75,000-99,999",1,0,205,209
80220,6940797462,712886703,Jenny Simons,03/17/2012,10,Female,White,Non-hispanic,1,"100,000-149,999",0,0,215,215
80221,6498370605,730143577,Sophie Gray,11/25/2012,10,Female,White,Non-hispanic,0,"200,000-249,999",0,0,209,205
80220,7411380937,745820080,Damien Thorn,08/01/2013,9,Male,White,Non-hispanic,0,"100,000-149,999",0,0,204,223
80221,4858260462,889675717,Jason White,08/09/2013,9,Male,White,Non-hispanic,0,"75,000-99,999",0,0,214,226
80221,3179780954,826397725,David Rodriguez,12/14/2013,9,Male,White,Hispanic,0,"100,000-149,999",0,0,208,229
80220,5414029866,742465554,Red McArthu,09/09/2013,9,Female,White,Non-hispanic,0,"100,000-149,999",0,1,221,202
80221,8032142324,676029102,Sally Turner,04/05/2012,10,Female,White,Non-hispanic,0,"200,000-249,999",0,0,206,229
80220,6371437335,861512602,Allie Nelson,02/25/2012,10,Female,White,Non-hispanic,0,"200,000-249,999",0,0,222,229
80222,2441678663,981476167,Kelly-Ann Barlow,04/18/2012,10,Female,White,Non-hispanic,0,"200,000-249,999",0,0,224,215
80220,2946755760,817924686,Larry Feegan,03/20/2012,10,Male,White,Non-hispanic,0,"100,000-149,999",0,0,200,221
80220,6597334829,914272742,Shelly Marsh,01/09/2010,13,Female,White,Non-hispanic,0,"100,000-149,999",0,0,219,229
80221,8687651665,992929130,Kay Chi,02/13/2015,8,Male,Asian,Non-hispanic,0,"75,000-99,999",0,0,218,202
80222,7044694117,861295557,Lee Roberts,09/03/2013,9,Male,Asian,Non-hispanic,0,"100,000-149,999",0,0,217,225
80222,2383266993,890054995,Donna Base,07/15/2012,10,Female,Black,Non-hispanic,0,"200,000-249,999",0,0,214,207
80220,5842799162,809048300,Rose River,05/02/2011,11,Female,White,Non-hispanic,0,"100,000-149,999",0,0,219,220
80222,5511548259,874008998,George Kuala,08/12/2012,10,Male,NA,Non-hispanic,0,"75,000-99,999",1,0,211,214
80221,8777913067,731193948,Jamal Campos,04/04/2012,10,Male,White,Hispanic,0,"200,000-249,999",0,0,202,226
80221,8721700078,680534365,Henry Fords,03/02/2011,11,Male,White,Non-hispanic,0,"100,000-149,999",1,0,211,217
80221,6139178090,676782088,Amelia Papimidous,10/02/2012,10,Female,White,Non-hispanic,0,"100,000-149,999",0,0,208,228
80220,8065237237,893247941,Tom Battle,03/05/2011,11,Male,White,Non-hispanic,0,"100,000-149,999",0,0,221,207
80222,4139401352,720273141,Fatima Ali,05/24/2011,11,Female,White,Non-hispanic,0,"75,000-99,999",1,1,202,225
80220,6118666721,890255724,Ahmed Khan,09/06/2011,11,Male,Asian,Non-hispanic,0,"75,000-99,999",0,0,205,210
80221,6482073290,902205262,Maria Rodriguez,12/15/2011,11,Female,White,Hispanic,0,"100,000-149,999",0,0,200,215
80220,5103331881,801617194,Kim Lee,02/08/2012,11,Female,Asian,Non-hispanic,0,"75,000-99,999",0,0,215,207
80220,5662616805,946404891,Thomas Smith,06/29/2012,10,Male,White,Non-hispanic,0,"75,000-99,999",0,0,200,205
80221,4026604192,736706846,Jasmine Davis,11/18/2012,10,Female,Black,Non-hispanic,0,"75,000-99,999",0,1,222,206
80220,5114724288,951436962,Ahmed Mohammed,01/26/2013,10,Male,White,Non-hispanic,1,"100,000-149,999",1,0,218,207
80222,3604059408,974991555,Sofia García,04/12/2013,9,Female,White,Non-hispanic,0,"75,000-99,999",0,0,224,223
80220,8309202481,782831373,Wei Chen,07/23/2013,9,Male,Asian,Non-hispanic,0,"100,000-149,999",1,0,205,200
80220,8572729673,840029061,David Brown,10/05/2011,11,Male,White,Non-hispanic,0,"75,000-99,999",0,0,207,217
80221,2358285712,947687323,Aaliyah Jackson,01/14/2012,11,Female,Black,Non-hispanic,0,"100,000-149,999",0,0,216,216
80220,6039967434,725131243,Omar Hassan,03/27/2012,10,Male,White,Non-hispanic,0,"75,000-99,999",0,0,213,228
80221,7152325605,853935170,Isabella Sanchez,06/17/2012,10,Female,White,Hispanic,0,"75,000-99,999",0,0,203,217
80221,3237419728,679200682,Min Lee,09/08/2012,10,Female,Asian,Non-hispanic,0,"100,000-149,999",0,0,207,205
80222,6408366982,962422496,Matthew Taylor,12/21/2012,10,Male,White,Non-hispanic,0,"100,000-149,999",1,0,200,220
80221,6075761054,983690557,Nia Wilson,02/19/2013,9,Female,White,Non-hispanic,0,"100,000-149,999",1,0,220,229
80222,3362479883,814225395,Tariq Ahmed,05/10/2013,9,Male,White,Non-hispanic,0,"100,000-149,999",0,0,203,226
80222,2271343893,985949515,Juan Gonzalez,08/25/2013,9,Male,White,Hispanic,0,"100,000-149,999",0,0,213,206
80220,7915099255,688180331,Yuna Kim,11/07/2011,11,Female,Asian,Non-hispanic,0,"200,000-249,999",0,0,201,219
80222,5693148881,751760341,William Jones,01/20/2012,11,Male,White,Non-hispanic,0,"75,000-99,999",0,0,214,227
80220,6503772597,941474697,Leah Harris,04/08/2012,10,Female,White,Non-hispanic,0,"75,000-99,999",0,0,225,204
80221,4880530272,850574744,Muhammad Ali,07/02/2012,10,Male,White,Non-hispanic,0,"200,000-249,999",0,0,212,214
80222,7764246104,682988160,Rosa Martinez,09/15/2012,10,Female,White,Hispanic,0,"200,000-249,999",0,0,208,220
80222,6436583685,869234973,Jie Zhang,12/30/2012,10,Female,Asian,Non-hispanic,0,"75,000-99,999",0,0,203,221
80221,2353134813,728912982,Benjamin Wilson,02/12/2013,10,Male,White,Non-hispanic,0,"75,000-99,999",0,0,202,223
80222,8006712610,980850357,Madison Johnson,05/03/2013,9,Female,Black,Non-hispanic,0,"75,000-99,999",0,0,217,214
80220,7952143247,910514155,Samir Bakr,08/16/2013,9,Male,White,Non-hispanic,0,"75,000-99,999",0,0,207,230
80222,5709468005,913828533,Ana Maria,11/05/2012,10,Female,White,Hispanic,0,"75,000-99,999",0,0,222,226
80222,6867660951,992438714,Kenji Nakamura,01/24/2013,10,Male,Asian,Non-hispanic,0,"75,000-99,999",0,0,223,201
80221,3870154420,815924622,Andrew Johnson,04/14/2013,9,Male,White,Non-hispanic,1,"200,000-249,999",0,0,211,214
80220,7797506673,844679624,Destiny Wilson,07/08/2013,9,Female,Black,Non-hispanic,0,"200,000-249,999",0,0,204,221
80220,2494395308,722181895,Tarek Farouk,10/22/2011,11,Male,White,Non-hispanic,0,"200,000-249,999",0,0,223,207
80221,8546373623,850279771,Carlos Hernandez,12/10/2011,11,Male,White,Hispanic,0,"200,000-249,999",0,0,201,204
80222,8656992107,718288946,Min-ji Park,03/05/2012,10,Female,Asian,Non-hispanic,0,"200,000-249,999",0,0,206,227
80222,6958413848,962473136,Jacob Smith,06/19/2012,10,Male,White,Non-hispanic,0,"100,000-149,999",0,0,218,208
80222,5523349842,801869852,Shayla Adams,09/06/2012,10,Female,Black,Non-hispanic,0,"100,000-149,999",0,0,200,201
80221,6595472746,951090549,Ahmed Ibrahim,12/01/2012,10,Male,White,Non-hispanic,0,"200,000-249,999",0,0,203,226
80220,7489643955,915131594,Isabel Rodriguez,02/28/2013,9,Female,White,Hispanic,0,"100,000-149,999",0,0,219,214
80220,2823018885,680803261,Xian Chen,05/16/2013,9,Male,Asian,Non-hispanic,0,"75,000-99,999",0,1,210,216
80221,7451127312,773234402,John Brown,08/31/2013,9,Male,White,Non-hispanic,0,"200,000-249,999",0,0,211,210
80220,7677217980,855443490,Amara Jones,11/17/2011,11,Female,Black,Non-hispanic,0,"200,000-249,999",0,0,213,214
80221,4783679758,902383995,Saeed Al-Saud,02/03/2012,11,Male,NA,Non-hispanic,0,"75,000-99,999",0,0,215,230
80221,2817826392,702406777,Juanita Lopez,04/23/2012,10,Female,White,Non-hispanic,0,"100,000-149,999",0,0,219,218
80221,7654249506,943837518,Yuyu Lee,07/15/2012,10,Female,Asian,Non-hispanic,0,"200,000-249,999",0,0,213,213
80220,2935358711,848394421,Benjamin Turner,10/08/2012,10,Male,White,Non-hispanic,0,"100,000-149,999",1,0,201,219
80220,4934388712,993842853,Lauren Wilson,12/25/2012,10,Female,Black,Non-hispanic,0,"100,000-149,999",1,0,205,203
80220,5360939504,988758591,Tariq Mustafa,03/09/2013,9,Male,NA,Non-hispanic,0,"200,000-249,999",0,0,213,220
80221,7221658825,842610748,Carlos Martinez,06/01/2013,9,Male,White,Non-hispanic,0,"100,000-149,999",0,0,200,204
80222,2777782104,677272490,Tomomi Nakamura,08/20/2013,9,Female,Asian,Non-hispanic,0,"200,000-249,999",0,0,210,214
80220,2657793427,927243456,Michael Davis,11/12/2012,10,Male,White,Non-hispanic,0,"100,000-149,999",0,0,224,203
80220,3246294874,841276165,Alberta Lowe,06/02/2011,11,Female,White,Non-hispanic,0,"100,000-149,999",0,0,211,219
80222,2522484954,692145969,Macy Brown,10/14/2013,9,Female,Black,Non-hispanic,0,"100,000-149,999",0,0,205,207
80222,6226479455,769066928,Joe Baker,12/16/2012,10,Male,White,Non-hispanic,0,"200,000-249,999",0,0,212,216
80220,8567366395,929068451,Samuel Tetris,10/24/2012,10,Male,White,Non-hispanic,0,"100,000-149,999",0,0,215,215
80220,3511819696,845874181,Paul Stage,02/13/2011,12,Male,White,Non-hispanic,0,"100,000-149,999",0,0,215,228
80221,8430191132,709355630,Lee King,05/10/2012,10,Male,Asian,Non-hispanic,0,"200,000-249,999",0,0,208,208
80220,4516023907,719087380,Benjamin Power,03/03/2012,10,Male,White,Non-hispanic,0,"200,000-249,999",0,0,213,210
80220,7032553463,723535202,Debra Smith,06/06/2012,10,Female,White,Non-hispanic,0,"100,000-149,999",0,0,201,217
80220,4986378999,720104857,Morgan Ellins,10/02/2011,11,Female,White,Non-hispanic,0,"100,000-149,999",0,0,209,213
